Intrinsic name 	Technology 	Header 	Function prototype
_mm_mask_i64gather_pd 	AVX2 	immintrin.h 	__m128d _mm_mask_i64gather_pd(__m128d, double const *, __m128i, __m128d, const int);
_mm_mask_i64gather_ps 	AVX2 	immintrin.h 	__m128 _mm_mask_i64gather_ps(__m128, float const *, __m128i, __m128, const int);
_mm_maskload_epi32 	AVX2 	immintrin.h 	__m128i _mm_maskload_epi32(int const *, __m128i);
_mm_maskload_epi64 	AVX2 	immintrin.h 	__m128i _mm_maskload_epi64(__int64 const *, __m128i);
_mm_maskload_pd 	AVX 	immintrin.h 	__m128d _mm_maskload_pd(double const *, __m128i);
_mm_maskload_ps 	AVX 	immintrin.h 	__m128 _mm_maskload_ps(float const *, __m128i);
_mm_maskmoveu_si128 	SSE2 	intrin.h 	void _mm_maskmoveu_si128(__m128i, __m128i, char*);
_mm_maskstore_epi32 	AVX2 	immintrin.h 	void _mm_maskstore_epi32(int *, __m128i, __m128i);
_mm_maskstore_epi64 	AVX2 	immintrin.h 	void _mm_maskstore_epi64(__int64 *, __m128i, __m128i);
_mm_maskstore_pd 	AVX 	immintrin.h 	void _mm_maskstore_pd(double *, __m128i, __m128d);
_mm_maskstore_ps 	AVX 	immintrin.h 	void _mm_maskstore_ps(float *, __m128i, __m128);
_mm_max_epi16 	SSE2 	intrin.h 	__m128i _mm_max_epi16(__m128i, __m128i);
_mm_max_epi32 	SSE41 	intrin.h 	__m128i _mm_max_epi32(__m128i, __m128i);
_mm_max_epi8 	SSE41 	intrin.h 	__m128i _mm_max_epi8 (__m128i, __m128i);
_mm_max_epu16 	SSE41 	intrin.h 	__m128i _mm_max_epu16(__m128i, __m128i);
_mm_max_epu32 	SSE41 	intrin.h 	__m128i _mm_max_epu32(__m128i, __m128i);
_mm_max_epu8 	SSE2 	intrin.h 	__m128i _mm_max_epu8(__m128i, __m128i);
_mm_max_pd 	SSE2 	intrin.h 	__m128d _mm_max_pd(__m128d, __m128d);
_mm_max_ps 	SSE 	intrin.h 	__m128 _mm_max_ps(__m128, __m128);
_mm_max_sd 	SSE2 	intrin.h 	__m128d _mm_max_sd(__m128d, __m128d);
_mm_max_ss 	SSE 	intrin.h 	__m128 _mm_max_ss(__m128, __m128);
_mm_mfence 	SSE2 	intrin.h 	void _mm_mfence(void);
_mm_min_epi16 	SSE2 	intrin.h 	__m128i _mm_min_epi16(__m128i, __m128i);
_mm_min_epi32 	SSE41 	intrin.h 	__m128i _mm_min_epi32(__m128i, __m128i);
_mm_min_epi8 	SSE41 	intrin.h 	__m128i _mm_min_epi8 (__m128i, __m128i);
_mm_min_epu16 	SSE41 	intrin.h 	__m128i _mm_min_epu16(__m128i, __m128i);
_mm_min_epu32 	SSE41 	intrin.h 	__m128i _mm_min_epu32(__m128i, __m128i);
_mm_min_epu8 	SSE2 	intrin.h 	__m128i _mm_min_epu8(__m128i, __m128i);
_mm_min_pd 	SSE2 	intrin.h 	__m128d _mm_min_pd(__m128d, __m128d);
_mm_min_ps 	SSE 	intrin.h 	__m128 _mm_min_ps(__m128, __m128);
_mm_min_sd 	SSE2 	intrin.h 	__m128d _mm_min_sd(__m128d, __m128d);
_mm_min_ss 	SSE 	intrin.h 	__m128 _mm_min_ss(__m128, __m128);
_mm_minpos_epu16 	SSE41 	intrin.h 	__m128i _mm_minpos_epu16(__m128i);
_mm_monitor 	SSE3 	intrin.h 	void _mm_monitor(void const*, unsigned int, unsigned int);
_mm_move_epi64 	SSE2 	intrin.h 	__m128i _mm_move_epi64(__m128i);
_mm_move_sd 	SSE2 	intrin.h 	__m128d _mm_move_sd(__m128d, __m128d);
_mm_move_ss 	SSE 	intrin.h 	__m128 _mm_move_ss(__m128, __m128);
_mm_movedup_pd 	SSE3 	intrin.h 	__m128d _mm_movedup_pd(__m128d);
_mm_movehdup_ps 	SSE3 	intrin.h 	__m128 _mm_movehdup_ps(__m128);
_mm_movehl_ps 	SSE 	intrin.h 	__m128 _mm_movehl_ps(__m128, __m128);
_mm_moveldup_ps 	SSE3 	intrin.h 	__m128 _mm_moveldup_ps(__m128);
_mm_movelh_ps 	SSE 	intrin.h 	__m128 _mm_movelh_ps(__m128, __m128);
_mm_movemask_epi8 	SSE2 	intrin.h 	int _mm_movemask_epi8(__m128i);
_mm_movemask_pd 	SSE2 	intrin.h 	int _mm_movemask_pd(__m128d);
_mm_movemask_ps 	SSE 	intrin.h 	int _mm_movemask_ps(__m128);
_mm_movepi64_pi64 	SSE2 	intrin.h 	__m64 _mm_movepi64_pi64(__m128i);
_mm_movpi64_epi64 	SSE2 	intrin.h 	__m128i _mm_movpi64_epi64(__m64);
_mm_mpsadbw_epu8 	SSE41 	intrin.h 	__m128i _mm_mpsadbw_epu8(__m128i, __m128i, const int);
_mm_msub_pd 	FMA4 	ammintrin.h 	__m128d _mm_msub_pd(__m128d, __m128d, __m128d);
_mm_msub_ps 	FMA4 	ammintrin.h 	__m128 _mm_msub_ps(__m128, __m128, __m128);
_mm_msub_sd 	FMA4 	ammintrin.h 	__m128d _mm_msub_sd(__m128d, __m128d, __m128d);
_mm_msub_ss 	FMA4 	ammintrin.h 	__m128 _mm_msub_ss(__m128, __m128, __m128);
_mm_msubadd_pd 	FMA4 	ammintrin.h 	__m128d _mm_msubadd_pd(__m128d, __m128d, __m128d);
_mm_msubadd_ps 	FMA4 	ammintrin.h 	__m128 _mm_msubadd_ps(__m128, __m128, __m128);
_mm_mul_epi32 	SSE41 	intrin.h 	__m128i _mm_mul_epi32(__m128i, __m128i);
_mm_mul_epu32 	SSE2 	intrin.h 	__m128i _mm_mul_epu32(__m128i, __m128i);
_mm_mul_pd 	SSE2 	intrin.h 	__m128d _mm_mul_pd(__m128d, __m128d);
_mm_mul_ps 	SSE 	intrin.h 	__m128 _mm_mul_ps(__m128, __m128);
_mm_mul_sd 	SSE2 	intrin.h 	__m128d _mm_mul_sd(__m128d, __m128d);
_mm_mul_ss 	SSE 	intrin.h 	__m128 _mm_mul_ss(__m128, __m128);
_mm_mul_su32 	SSE2 	intrin.h 	__m64 _mm_mul_su32(__m64, __m64);
_mm_mulhi_epi16 	SSE2 	intrin.h 	__m128i _mm_mulhi_epi16(__m128i, __m128i);
_mm_mulhi_epu16 	SSE2 	intrin.h 	__m128i _mm_mulhi_epu16(__m128i, __m128i);
_mm_mulhi_pi16 	MMX 	mmintrin.h 	__m64 _mm_mulhi_pi16(__m64, __m64); [Macro]
_mm_mulhrs_epi16 	SSSE3 	intrin.h 	__m128i _mm_mulhrs_epi16(__m128i, __m128i);
_mm_mulhrs_pi16 	SSSE3 	intrin.h 	__m64 _mm_mulhrs_pi16(__m64, __m64);
_mm_mullo_epi16 	SSE2 	intrin.h 	__m128i _mm_mullo_epi16(__m128i, __m128i);
_mm_mullo_epi32 	SSE41 	intrin.h 	__m128i _mm_mullo_epi32(__m128i, __m128i);
_mm_mullo_pi16 	MMX 	mmintrin.h 	__m64 _mm_mullo_pi16(__m64, __m64); [Macro]
_mm_mwait 	SSE3 	intrin.h 	void _mm_mwait(unsigned int, unsigned int);
_mm_nmacc_pd 	FMA4 	ammintrin.h 	__m128d _mm_nmacc_pd(__m128d, __m128d, __m128d);
_mm_nmacc_ps 	FMA4 	ammintrin.h 	__m128 _mm_nmacc_ps(__m128, __m128, __m128);
_mm_nmacc_sd 	FMA4 	ammintrin.h 	__m128d _mm_nmacc_sd(__m128d, __m128d, __m128d);
_mm_nmacc_ss 	FMA4 	ammintrin.h 	__m128 _mm_nmacc_ss(__m128, __m128, __m128);
_mm_nmsub_pd 	FMA4 	ammintrin.h 	__m128d _mm_nmsub_pd(__m128d, __m128d, __m128d);
_mm_nmsub_ps 	FMA4 	ammintrin.h 	__m128 _mm_nmsub_ps(__m128, __m128, __m128);
_mm_nmsub_sd 	FMA4 	ammintrin.h 	__m128d _mm_nmsub_sd(__m128d, __m128d, __m128d);
_mm_nmsub_ss 	FMA4 	ammintrin.h 	__m128 _mm_nmsub_ss(__m128, __m128, __m128);
_mm_or_pd 	SSE2 	intrin.h 	__m128d _mm_or_pd(__m128d, __m128d);
_mm_or_ps 	SSE 	intrin.h 	__m128 _mm_or_ps(__m128, __m128);
_mm_or_si64 	MMX 	mmintrin.h 	__m64 _mm_or_si64(__m64, __m64); [Macro]
_mm_or_si128 	SSE2 	intrin.h 	__m128i _mm_or_si128(__m128i, __m128i);
_mm_packs_epi16 	SSE2 	intrin.h 	__m128i _mm_packs_epi16(__m128i, __m128i);
_mm_packs_epi32 	SSE2 	intrin.h 	__m128i _mm_packs_epi32(__m128i, __m128i);
_mm_packs_pi16 	MMX 	mmintrin.h 	__m64 _mm_packs_pi16 (__m64, __m64); [Macro]
_mm_packs_pi32 	MMX 	mmintrin.h 	__m64 _mm_packs_pi32 (__m64, __m64); [Macro]
_mm_packs_pu16 	MMX 	mmintrin.h 	__m64 _mm_packs_pu16 (__m64, __m64); [Macro]
_mm_packus_epi16 	SSE2 	intrin.h 	__m128i _mm_packus_epi16(__m128i, __m128i);
_mm_packus_epi32 	SSE41 	intrin.h 	__m128i _mm_packus_epi32(__m128i, __m128i);
_mm_pause 	SSE2 	intrin.h 	void _mm_pause(void);
_mm_perm_epi8 	XOP 	ammintrin.h 	__m128i _mm_perm_epi8(__m128i, __m128i, __m128i);
_mm_permute_pd 	AVX 	immintrin.h 	__m128d _mm_permute_pd(__m128d, int);
_mm_permute_ps 	AVX 	immintrin.h 	__m128 _mm_permute_ps(__m128, int);
_mm_permute2_pd 	XOP 	ammintrin.h 	__m128d _mm_permute2_pd(__m128d, __m128d, __m128i, int);
_mm_permute2_ps 	XOP 	ammintrin.h 	__m128 _mm_permute2_ps(__m128, __m128, __m128i, int);
_mm_permutevar_pd 	AVX 	immintrin.h 	__m128d _mm_permutevar_pd(__m128d, __m128i);
_mm_permutevar_ps 	AVX 	immintrin.h 	__m128 _mm_permutevar_ps(__m128, __m128i);
_mm_popcnt_u32 	POPCNT 	intrin.h 	int _mm_popcnt_u32(unsigned int);
_mm_prefetch 	SSE 	intrin.h 	void _mm_prefetch(char*, int);
_mm_rcp_ps 	SSE 	intrin.h 	__m128 _mm_rcp_ps(__m128);
_mm_rcp_ss 	SSE 	intrin.h 	__m128 _mm_rcp_ss(__m128);
_mm_rot_epi16 	XOP 	ammintrin.h 	__m128i _mm_rot_epi16(__m128i, __m128i);
_mm_rot_epi32 	XOP 	ammintrin.h 	__m128i _mm_rot_epi32(__m128i, __m128i);
_mm_rot_epi64 	XOP 	ammintrin.h 	__m128i _mm_rot_epi64(__m128i, __m128i);
_mm_rot_epi8 	XOP 	ammintrin.h 	__m128i _mm_rot_epi8(__m128i, __m128i);
_mm_roti_epi16 	XOP 	ammintrin.h 	__m128i _mm_rot_epi16(__m128i, int);
_mm_roti_epi32 	XOP 	ammintrin.h 	__m128i _mm_rot_epi32(__m128i, int);
_mm_roti_epi64 	XOP 	ammintrin.h 	__m128i _mm_rot_epi64(__m128i, int);
_mm_roti_epi8 	XOP 	ammintrin.h 	__m128i _mm_rot_epi8(__m128i, int);
_mm_round_pd 	SSE41 	intrin.h 	__m128d _mm_round_pd(__m128d, const int);
_mm_round_ps 	SSE41 	intrin.h 	__m128 _mm_round_ps(__m128, const int);
_mm_round_sd 	SSE41 	intrin.h 	__m128d _mm_round_sd(__m128d, __m128d, const int);
_mm_round_ss 	SSE41 	intrin.h 	__m128 _mm_round_ss(__m128, __m128, const int);
_mm_rsqrt_ps 	SSE 	intrin.h 	__m128 _mm_rsqrt_ps(__m128);
_mm_rsqrt_ss 	SSE 	intrin.h 	__m128 _mm_rsqrt_ss(__m128);
_mm_sad_epu8 	SSE2 	intrin.h 	__m128i _mm_sad_epu8(__m128i, __m128i);
_mm_set_epi16 	SSE2 	intrin.h 	__m128i _mm_set_epi16(short, short, short, short, short, short, short, short);
_mm_set_epi32 	SSE2 	intrin.h 	__m128i _mm_set_epi32(int, int, int, int);
_mm_set_epi64 	SSE2 	intrin.h 	__m128i _mm_set_epi64(__m64, __m64);
_mm_set_epi8 	SSE2 	intrin.h 	__m128i _mm_set_epi8(char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char);
_mm_set_pd 	SSE2 	intrin.h 	__m128d _mm_set_pd(double, double);
_mm_set_pi16 	MMX 	intrin.h 	__m64 _mm_set_pi16(short, short, short, short);
_mm_set_pi32 	MMX 	intrin.h 	__m64 _mm_set_pi32(int, int);
_mm_set_pi8 	MMX 	intrin.h 	__m64 _mm_set_pi8(char, char, char, char, char, char, char, char);
_mm_set_ps 	SSE 	intrin.h 	__m128 _mm_set_ps(float, float, float, float);
_mm_set_ps1 	SSE 	intrin.h 	__m128 _mm_set_ps1(float);
_mm_set_sd 	SSE2 	intrin.h 	__m128d _mm_set_sd(double);
_mm_set_ss 	SSE 	intrin.h 	__m128 _mm_set_ss(float);
_mm_set1_epi16 	SSE2 	intrin.h 	__m128i _mm_set1_epi16(short);
_mm_set1_epi32 	SSE2 	intrin.h 	__m128i _mm_set1_epi32(int);
_mm_set1_epi64 	SSE2 	intrin.h 	__m128i _mm_set1_epi64(__m64);
_mm_set1_epi8 	SSE2 	intrin.h 	__m128i _mm_set1_epi8(char);
_mm_set1_pd 	SSE2 	intrin.h 	__m128d _mm_set1_pd(double);
_mm_set1_pi16 	MMX 	intrin.h 	__m64 _mm_set1_pi16(short);
_mm_set1_pi32 	MMX 	intrin.h 	__m64 _mm_set1_pi32(int);
_mm_set1_pi8 	MMX 	intrin.h 	__m64 _mm_set1_pi8(char);
_mm_setcsr 	SSE 	intrin.h 	void _mm_setcsr(unsigned int);
_mm_setl_epi64 	SSE2 	intrin.h 	__m128i _mm_setl_epi64(__m128i);
_mm_setr_epi16 	SSE2 	intrin.h 	__m128i _mm_setr_epi16(short, short, short, short, short, short, short, short);
_mm_setr_epi32 	SSE2 	intrin.h 	__m128i _mm_setr_epi32(int, int, int, int);
_mm_setr_epi64 	SSE2 	intrin.h 	__m128i _mm_setr_epi64(__m64, __m64);
_mm_setr_epi8 	SSE2 	intrin.h 	__m128i _mm_setr_epi8(char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char);
_mm_setr_pd 	SSE2 	intrin.h 	__m128d _mm_setr_pd(double, double);
_mm_setr_pi16 	MMX 	intrin.h 	__m64 _mm_setr_pi16(short, short, short, short);
_mm_setr_pi32 	MMX 	intrin.h 	__m64 _mm_setr_pi32(int, int);
_mm_setr_pi8 	MMX 	intrin.h 	__m64 _mm_setr_pi8(char, char, char, char, char, char, char, char);
_mm_setr_ps 	SSE 	intrin.h 	__m128 _mm_setr_ps(float, float, float, float);
_mm_setzero_pd 	SSE2 	intrin.h 	__m128d _mm_setzero_pd(void);
_mm_setzero_ps 	SSE 	intrin.h 	__m128 _mm_setzero_ps(void);
_mm_setzero_si128 	SSE2 	intrin.h 	__m128i _mm_setzero_si128(void);
_mm_setzero_si64 	MMX 	intrin.h 	__m64 _mm_setzero_si64(void);
_mm_sfence 	SSE 	intrin.h 	void _mm_sfence(void);
_mm_sha_epi16 	XOP 	ammintrin.h 	__m128i _mm_sha_epi16(__m128i, __m128i);
_mm_sha_epi32 	XOP 	ammintrin.h 	__m128i _mm_sha_epi32(__m128i, __m128i);
_mm_sha_epi64 	XOP 	ammintrin.h 	__m128i _mm_sha_epi64(__m128i, __m128i);
_mm_sha_epi8 	XOP 	ammintrin.h 	__m128i _mm_sha_epi8(__m128i, __m128i);
_mm_shl_epi16 	XOP 	ammintrin.h 	__m128i _mm_shl_epi16(__m128i, __m128i);
_mm_shl_epi32 	XOP 	ammintrin.h 	__m128i _mm_shl_epi32(__m128i, __m128i);
_mm_shl_epi64 	XOP 	ammintrin.h 	__m128i _mm_shl_epi64(__m128i, __m128i);
_mm_shl_epi8 	XOP 	ammintrin.h 	__m128i _mm_shl_epi8(__m128i, __m128i);
_mm_shuffle_epi32 	SSE2 	intrin.h 	__m128i _mm_shuffle_epi32(__m128i, int);
_mm_shuffle_epi8 	SSSE3 	intrin.h 	__m128i _mm_shuffle_epi8(__m128i, __m128i);
_mm_shuffle_pd 	SSE2 	intrin.h 	__m128d _mm_shuffle_pd(__m128d, __m128d, int);
_mm_shuffle_pi8 	SSSE3 	intrin.h 	__m64 _mm_shuffle_pi8(__m64, __m64);
_mm_shuffle_ps 	SSE 	intrin.h 	__m128 _mm_shuffle_ps(__m128, __m128, unsigned int);
_mm_shufflehi_epi16 	SSE2 	intrin.h 	__m128i _mm_shufflehi_epi16(__m128i, int);
_mm_shufflelo_epi16 	SSE2 	intrin.h 	__m128i _mm_shufflelo_epi16(__m128i, int);
_mm_sign_epi16 	SSSE3 	intrin.h 	__m128i _mm_sign_epi16(__m128i, __m128i);
_mm_sign_epi32 	SSSE3 	intrin.h 	__m128i _mm_sign_epi32(__m128i, __m128i);
_mm_sign_epi8 	SSSE3 	intrin.h 	__m128i _mm_sign_epi8(__m128i, __m128i);
_mm_sign_pi16 	SSSE3 	intrin.h 	__m64 _mm_sign_pi16(__m64, __m64);
_mm_sign_pi32 	SSSE3 	intrin.h 	__m64 _mm_sign_pi32(__m64, __m64);
_mm_sign_pi8 	SSSE3 	intrin.h 	__m64 _mm_sign_pi8(__m64, __m64);
_mm_sll_epi16 	SSE2 	intrin.h 	__m128i _mm_sll_epi16(__m128i, __m128i);
_mm_sll_epi32 	SSE2 	intrin.h 	__m128i _mm_sll_epi32(__m128i, __m128i);
_mm_sll_epi64 	SSE2 	intrin.h 	__m128i _mm_sll_epi64(__m128i, __m128i);
_mm_sll_pi16 	MMX 	mmintrin.h 	__m64 _mm_sll_pi16(__m64, __m64); [Macro]
_mm_sll_pi32 	MMX 	mmintrin.h 	__m64 _mm_sll_pi32(__m64, __m64); [Macro]
_mm_sll_si64 	MMX 	mmintrin.h 	__m64 _mm_sll_si64(__m64, __m64); [Macro]
_mm_slli_epi16 	SSE2 	intrin.h 	__m128i _mm_slli_epi16(__m128i, int);
_mm_slli_epi32 	SSE2 	intrin.h 	__m128i _mm_slli_epi32(__m128i, int);
_mm_slli_epi64 	SSE2 	intrin.h 	__m128i _mm_slli_epi64(__m128i, int);
_mm_slli_pi16 	MMX 	mmintrin.h 	__m64 _mm_slli_pi16(__m64, int); [Macro]
_mm_slli_pi32 	MMX 	mmintrin.h 	__m64 _mm_slli_pi32(__m64, int); [Macro]
_mm_slli_si64 	MMX 	mmintrin.h 	__m64 _mm_slli_si64(__m64, int); [Macro]
_mm_slli_si128 	SSE2 	intrin.h 	__m128i _mm_slli_si128(__m128i, int);
_mm_sllv_epi32 	AVX2 	immintrin.h 	__m128i _mm_sllv_epi32(__m128i, __m128i);
_mm_sllv_epi64 	AVX2 	immintrin.h 	__m128i _mm_sllv_epi64(__m128i, __m128i);
_mm_sqrt_pd 	SSE2 	intrin.h 	__m128d _mm_sqrt_pd(__m128d);
_mm_sqrt_ps 	SSE 	intrin.h 	__m128 _mm_sqrt_ps(__m128);
_mm_sqrt_sd 	SSE2 	intrin.h 	__m128d _mm_sqrt_sd(__m128d, __m128d);
_mm_sqrt_ss 	SSE 	intrin.h 	__m128 _mm_sqrt_ss(__m128);
_mm_sra_epi16 	SSE2 	intrin.h 	__m128i _mm_sra_epi16(__m128i, __m128i);
_mm_sra_epi32 	SSE2 	intrin.h 	__m128i _mm_sra_epi32(__m128i, __m128i);
_mm_sra_pi16 	MMX 	mmintrin.h 	__m64 _mm_sra_pi16(__m64, __m64); [Macro]
_mm_sra_pi32 	MMX 	mmintrin.h 	__m64 _mm_sra_pi32(__m64, __m64); [Macro]
_mm_srai_epi16 	SSE2 	intrin.h 	__m128i _mm_srai_epi16(__m128i, int);
_mm_srai_epi32 	SSE2 	intrin.h 	__m128i _mm_srai_epi32(__m128i, int);
_mm_srai_pi16 	MMX 	mmintrin.h 	__m64 _mm_srai_pi16(__m64, int); [Macro]
_mm_srai_pi32 	MMX 	mmintrin.h 	__m64 _mm_srai_pi32(__m64, int); [Macro]
_mm_srav_epi32 	AVX2 	immintrin.h 	__m128i _mm_srav_epi32(__m128i, __m128i);
_mm_srl_epi16 	SSE2 	intrin.h 	__m128i _mm_srl_epi16(__m128i, __m128i);
_mm_srl_epi32 	SSE2 	intrin.h 	__m128i _mm_srl_epi32(__m128i, __m128i);
_mm_srl_epi64 	SSE2 	intrin.h 	__m128i _mm_srl_epi64(__m128i, __m128i);
_mm_srl_pi16 	MMX 	mmintrin.h 	__m64 _mm_srl_pi16(__m64, __m64); [Macro]
_mm_srl_pi32 	MMX 	mmintrin.h 	__m64 _mm_srl_pi32(__m64, __m64); [Macro]
_mm_srl_si64 	MMX 	mmintrin.h 	__m64 _mm_srl_si64(__m64, __m64); [Macro]
_mm_srli_epi16 	SSE2 	intrin.h 	__m128i _mm_srli_epi16(__m128i, int);
_mm_srli_epi32 	SSE2 	intrin.h 	__m128i _mm_srli_epi32(__m128i, int);
_mm_srli_epi64 	SSE2 	intrin.h 	__m128i _mm_srli_epi64(__m128i, int);
_mm_srli_pi16 	MMX 	mmintrin.h 	__m64 _mm_srli_pi16(__m64, int); [Macro]
_mm_srli_pi32 	MMX 	mmintrin.h 	__m64 _mm_srli_pi32(__m64, int); [Macro]
_mm_srli_si64 	MMX 	mmintrin.h 	__m64 _mm_srli_si64(__m64, int); [Macro]
_mm_srli_si128 	SSE2 	intrin.h 	__m128i _mm_srli_si128(__m128i, int);
_mm_srlv_epi32 	AVX2 	immintrin.h 	__m128i _mm_srlv_epi32(__m128i, __m128i);
_mm_srlv_epi64 	AVX2 	immintrin.h 	__m128i _mm_srlv_epi64(__m128i, __m128i);
_mm_store_pd 	SSE2 	intrin.h 	void _mm_store_pd(double*, __m128d);
_mm_store_ps 	SSE 	intrin.h 	void _mm_store_ps(float*, __m128);
_mm_store_ps1 	SSE 	intrin.h 	void _mm_store_ps1(float*, __m128);
_mm_store_sd 	SSE2 	intrin.h 	void _mm_store_sd(double*, __m128d);
_mm_store_si128 	SSE2 	intrin.h 	void _mm_store_si128(__m128i*, __m128i);
_mm_store_ss 	SSE 	intrin.h 	void _mm_store_ss(float*, __m128);
_mm_store1_pd 	SSE2 	intrin.h 	void _mm_store1_pd(double*, __m128d);
_mm_storeh_pd 	SSE2 	intrin.h 	void _mm_storeh_pd(double*, __m128d);
_mm_storeh_pi 	SSE 	intrin.h 	void _mm_storeh_pi(__m64*, __m128);
_mm_storel_epi64 	SSE2 	intrin.h 	void _mm_storel_epi64(__m128i*, __m128i);
_mm_storel_pd 	SSE2 	intrin.h 	void _mm_storel_pd(double*, __m128d);
_mm_storel_pi 	SSE 	intrin.h 	void _mm_storel_pi(__m64*, __m128);
_mm_storer_pd 	SSE2 	intrin.h 	void _mm_storer_pd(double*, __m128d);
_mm_storer_ps 	SSE 	intrin.h 	void _mm_storer_ps(float*, __m128);
_mm_storeu_pd 	SSE2 	intrin.h 	void _mm_storeu_pd(double*, __m128d);
_mm_storeu_ps 	SSE 	intrin.h 	void _mm_storeu_ps(float*, __m128);
_mm_storeu_si128 	SSE2 	intrin.h 	void _mm_storeu_si128(__m128i*, __m128i);
_mm_stream_load_si128 	SSE41 	intrin.h 	__m128i _mm_stream_load_si128(__m128i*);
_mm_stream_pd 	SSE2 	intrin.h 	void _mm_stream_pd(double*, __m128d);
_mm_stream_pi 	SSE 	intrin.h 	void _mm_stream_pi(__m64*, __m64);
_mm_stream_ps 	SSE 	intrin.h 	void _mm_stream_ps(float*, __m128);
_mm_stream_sd 	SSE4a 	intrin.h 	void _mm_stream_sd(double*, __m128d);
_mm_stream_si128 	SSE2 	intrin.h 	void _mm_stream_si128(__m128i*, __m128i);
_mm_stream_si32 	SSE2 	intrin.h 	void _mm_stream_si32(int*, int);
_mm_stream_ss 	SSE4a 	intrin.h 	void _mm_stream_ss(float*, __m128);
_mm_sub_epi16 	SSE2 	intrin.h 	__m128i _mm_sub_epi16(__m128i, __m128i);
_mm_sub_epi32 	SSE2 	intrin.h 	__m128i _mm_sub_epi32(__m128i, __m128i);
_mm_sub_epi64 	SSE2 	intrin.h 	__m128i _mm_sub_epi64(__m128i, __m128i);
_mm_sub_epi8 	SSE2 	intrin.h 	__m128i _mm_sub_epi8(__m128i, __m128i);
_mm_sub_pd 	SSE2 	intrin.h 	__m128d _mm_sub_pd(__m128d, __m128d);
_mm_sub_pi8 	MMX 	mmintrin.h 	__m64 _mm_sub_pi8(__m64, __m64); [Macro]
_mm_sub_pi16 	MMX 	mmintrin.h 	__m64 _mm_sub_pi16(__m64, __m64); [Macro]
_mm_sub_pi32 	MMX 	mmintrin.h 	__m64 _mm_sub_pi32(__m64, __m64); [Macro]
_mm_sub_ps 	SSE 	intrin.h 	__m128 _mm_sub_ps(__m128, __m128);
_mm_sub_sd 	SSE2 	intrin.h 	__m128d _mm_sub_sd(__m128d, __m128d);
_mm_sub_si64 	SSE2 	intrin.h 	__m64 _mm_sub_si64(__m64, __m64);
_mm_sub_ss 	SSE 	intrin.h 	__m128 _mm_sub_ss(__m128, __m128);
_mm_subs_epi16 	SSE2 	intrin.h 	__m128i _mm_subs_epi16(__m128i, __m128i);
_mm_subs_epi8 	SSE2 	intrin.h 	__m128i _mm_subs_epi8(__m128i, __m128i);
_mm_subs_epu16 	SSE2 	intrin.h 	__m128i _mm_subs_epu16(__m128i, __m128i);
_mm_subs_epu8 	SSE2 	intrin.h 	__m128i _mm_subs_epu8(__m128i, __m128i);
_mm_subs_pi8 	MMX 	mmintrin.h 	__m64 _mm_subs_pi8(__m64, __m64); [Macro]
_mm_subs_pi16 	MMX 	mmintrin.h 	__m64 _mm_subs_pi16(__m64, __m64); [Macro]
_mm_subs_pu8 	MMX 	mmintrin.h 	__m64 _mm_subs_pu8(__m64, __m64); [Macro]
_mm_subs_pu16 	MMX 	mmintrin.h 	__m64 _mm_subs_pu16(__m64, __m64); [Macro]
_mm_testc_pd 	AVX 	immintrin.h 	int _mm_testc_pd(__m128d, __m128d);
_mm_testc_ps 	AVX 	immintrin.h 	int _mm_testc_ps(__m128, __m128);
_mm_testc_si128 	SSE41 	intrin.h 	int _mm_testc_si128(__m128i, __m128i);
_mm_testnzc_pd 	AVX 	immintrin.h 	int _mm_testnzc_pd(__m128d, __m128d);
_mm_testnzc_ps 	AVX 	immintrin.h 	int _mm_testnzc_ps(__m128, __m128);
_mm_testnzc_si128 	SSE41 	intrin.h 	int _mm_testnzc_si128(__m128i, __m128i);
_mm_testz_pd 	AVX 	immintrin.h 	int _mm_testz_pd(__m128d, __m128d);
_mm_testz_ps 	AVX 	immintrin.h 	int _mm_testz_ps(__m128, __m128);
_mm_testz_si128 	SSE41 	intrin.h 	int _mm_testz_si128(__m128i, __m128i);
_mm_ucomieq_sd 	SSE2 	intrin.h 	int _mm_ucomieq_sd(__m128d, __m128d);
_mm_ucomieq_ss 	SSE 	intrin.h 	int _mm_ucomieq_ss(__m128, __m128);
_mm_ucomige_sd 	SSE2 	intrin.h 	int _mm_ucomige_sd(__m128d, __m128d);
_mm_ucomige_ss 	SSE 	intrin.h 	int _mm_ucomige_ss(__m128, __m128);
_mm_ucomigt_sd 	SSE2 	intrin.h 	int _mm_ucomigt_sd(__m128d, __m128d);
_mm_ucomigt_ss 	SSE 	intrin.h 	int _mm_ucomigt_ss(__m128, __m128);
_mm_ucomile_sd 	SSE2 	intrin.h 	int _mm_ucomile_sd(__m128d, __m128d);
_mm_ucomile_ss 	SSE 	intrin.h 	int _mm_ucomile_ss(__m128, __m128);
_mm_ucomilt_sd 	SSE2 	intrin.h 	int _mm_ucomilt_sd(__m128d, __m128d);
_mm_ucomilt_ss 	SSE 	intrin.h 	int _mm_ucomilt_ss(__m128, __m128);
_mm_ucomineq_sd 	SSE2 	intrin.h 	int _mm_ucomineq_sd(__m128d, __m128d);
